Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
294,Leeton,AU,-34.5667,146.4,42.85,87,0,clear sky
295,Labuhan,ID,-6.8844,112.2051,76.71,83,53,broken clouds
296,Lompoc,US,34.6391,-120.4579,90.79,77,1,clear sky
297,Diapaga,BF,12.0708,1.7889,74.62,87,72,broken clouds
298,Adana,TR,36.985,35.2881,82.42,73,0,clear sky
299,Aykhal,RU,66.0,111.5,51.17,82,100,overcast clouds
300,Dicabisagan,PH,17.0818,122.4157,79.56,81,96,overcast clouds
301,Imbituba,BR,-28.24,-48.6703,66.09,97,37,scattered clouds
302,Ewo,CG,-0.8725,14.8206,79.83,57,71,broken clouds
303,Coihaique,CL,-45.5752,-72.0662,45.21,87,90,light intensity shower rain
304,Tiksi,RU,71.6872,128.8694,42.49,84,12,few clouds
305,Pangody,RU,65.85,74.4859,48.97,91,39,scattered clouds
306,Antofagasta,CL,-23.65,-70.4,56.48,82,32,scattered clouds
307,Flin Flon,CA,54.7682,-101.865,80.44,29,75,smoke
308,Dharchula,IN,29.85,80.5333,67.59,88,10,clear sky
309,San Cristobal,VE,7.7669,-72.225,80.78,96,47,scattered clouds
310,Acajutla,SV,13.5928,-89.8275,88.81,76,100,overcast clouds
311,Khachrod,IN,23.4167,75.2833,72.97,87,44,scattered clouds
312,Zaysan,KZ,47.4667,84.8667,58.17,61,79,broken clouds
313,Keti Bandar,PK,24.1447,67.4497,79.54,82,100,overcast clouds
314,Adrar,MR,20.5022,-10.0711,96.03,14,49,scattered clouds
315,Gwadar,PK,25.1216,62.3254,79.14,81,100,overcast clouds
316,Tuatapere,NZ,-46.1333,167.6833,56.82,73,99,moderate rain
317,Purpe,RU,64.4803,76.6897,54.52,79,84,broken clouds
318,Islamkot,PK,24.6997,70.177,82.29,66,39,scattered clouds
319,Ahipara,NZ,-35.1667,173.1667,57.6,69,16,few clouds
320,Menongue,AO,-14.6585,17.691,57.56,33,1,clear sky
321,Ban Nahin,LA,18.2418,104.2122,74.1,99,100,overcast clouds
322,Bilma,NE,18.6853,12.9164,93.25,30,15,few clouds
323,Tecpan,GT,14.7623,-90.9947,61.56,92,100,overcast clouds
324,Helong,CN,42.5397,128.9972,63.37,95,97,overcast clouds
325,Nemuro,JP,43.3236,145.575,57.18,84,28,scattered clouds
326,Taoudenni,ML,22.6783,-3.9836,102.52,9,75,broken clouds
327,Parakai,NZ,-36.65,174.4333,58.64,62,25,scattered clouds
328,Kokopo,PG,-4.352,152.2633,81.63,73,56,light rain
329,Nellikkuppam,IN,11.7667,79.6833,81.0,69,100,overcast clouds
330,Yerbogachen,RU,61.2767,108.0108,56.68,87,97,overcast clouds
331,Lasa,IT,46.6166,10.7002,70.68,82,4,clear sky
332,Yeppoon,AU,-23.1333,150.7333,65.98,72,33,scattered clouds
333,Tadine,NC,-21.55,167.8833,70.38,63,99,overcast clouds
334,Takhtamygda,RU,54.1,123.5667,65.07,67,80,broken clouds
