City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Sibolga,ID,75.02,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
481,Pauini,BR,85.78,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
482,Kismayo,SO,75.25,few clouds,-0.3582,42.5454,Agan-Hotel
483,Santa Flavia,IT,83.62,clear sky,38.085,13.5351,La Caletta
489,Clarksburg,US,82.13,scattered clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
490,Yenagoa,NG,74.91,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
492,Canutama,BR,86.32,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
493,Haikou,CN,78.93,clear sky,20.0458,110.3417,Sun City Restaurant
494,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
495,Pasuruan,ID,75.09,scattered clouds,-7.6453,112.9075,Pasuruan Hotel
496,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
498,Kermanshah,IR,72.5,clear sky,34.3142,47.065,Sina Hotel
500,Nieves,PH,76.51,broken clouds,15.3274,120.9485,Bill's Inn
505,Pirapora,BR,76.44,few clouds,-17.345,-44.9419,Santos Palace Hotel
507,San Javier,ES,85.68,broken clouds,37.8063,-0.8374,Hotel Mar Menor
510,Ewa Beach,US,87.17,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
511,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
513,Sioux Lookout,CA,88.18,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
518,Bima,ID,74.88,few clouds,-8.4667,118.7167,Lambitu Hotel
521,Poum,NC,72.7,overcast clouds,-20.2333,164.0167,Gîte kajeon
522,Bubaque,GW,77.02,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
523,Iracoubo,GF,75.6,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
525,Vazante,BR,75.81,few clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
529,Noumea,NC,71.58,few clouds,-22.2763,166.4572,Hôtel Le Lagon
531,Bardiyah,LY,78.39,clear sky,31.7561,25.0865,بورتو بردية
533,Maonon,PH,79.79,overcast clouds,13.0364,123.3707,LA VERANDA BEACH RESORT
534,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
535,Agadir,MA,73.85,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
537,Kant,IN,84.31,broken clouds,27.8,79.8,Haseeb Khan shatreng
538,Puerto Ayacucho,VE,73.45,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
539,Ca Mau,VN,76.46,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
540,Farah,AF,72.16,clear sky,32.5,62.5,Paradise Inn & Suites
550,Soc Trang,VN,76.96,few clouds,9.6033,105.98,Phu Quy Hotel
551,Oakland,US,76.86,clear sky,42.6667,-83.3999,"Holiday Inn Express & Suites Waterford, an IHG Hotel"
552,Kindu,CD,71.19,clear sky,-2.95,25.95,Résidence Okanda
554,Yingkou,CN,72.66,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
556,Tangjiazhuang,CN,70.32,moderate rain,39.7333,118.45,Peace Hotel
558,Douglas,US,87.94,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
560,Mahbubabad,IN,74.03,overcast clouds,17.6167,80.0167,Vedansh Residency
562,Mana,GF,74.7,overcast clouds,5.6592,-53.7767,LE SAMANA
563,Puerto Escondido,MX,83.93,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
564,Bagula,IN,79.52,overcast clouds,23.3167,88.65,রায় ভবন
565,Nantucket,US,75.34,clear sky,41.2835,-70.0995,Jared Coffin House
568,Saint-Francois,FR,73.18,broken clouds,46.4154,3.9054,Manoir Du Bonheur
570,Benjamin Constant,BR,80.73,mist,-4.3831,-70.0311,CASA AVALIADA
573,Bikaner,IN,88.36,scattered clouds,28.0167,73.3,Karina Guest House
574,Rambha,IN,82.2,overcast clouds,19.5167,85.1,Dhoba Mantri
575,Boende,CD,75.63,broken clouds,-0.2167,20.8667,Paradise Inn & Suites
576,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
578,Motupe,PE,72.43,scattered clouds,-6.1519,-79.7142,Hostal MALU
580,Sondrio,IT,78.04,few clouds,46.169,9.8692,Grand Hotel della Posta
581,Lahat,ID,71.51,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
582,Gamba,GA,74.16,overcast clouds,-2.65,10.0,Paradise Inn & Suites
583,Crawfordsville,US,78.4,scattered clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
585,Road Town,VG,80.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
587,Aitape,PG,82.33,broken clouds,-3.1374,142.3475,Paradise Inn & Suites
588,Malanje,AO,70.81,broken clouds,-9.5402,16.341,Malanje Hotel
589,Piploda,IN,73.06,scattered clouds,23.35,75.4333,श्री महाकाल डेरी
593,San Pedro,PH,80.35,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
594,Wad Madani,SD,81.5,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
595,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
596,Labrea,BR,84.7,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
597,Benguela,AO,70.47,few clouds,-12.5763,13.4055,Hotel Praia Morena
601,Matagami,CA,73.51,clear sky,49.7502,-77.6328,Hôtel Matagami
603,Alexandria,EG,80.56,clear sky,31.2156,29.9553,Royal Crown Hotel
606,Xudat,AZ,72.57,clear sky,41.631,48.681,Paradise Inn & Suites
608,Palmer,US,77.32,broken clouds,42.1584,-72.3287,Wedgewood Motel
609,Qandala,SO,89.15,scattered clouds,11.472,49.8728,Paradise Inn & Suites
614,Sao Raimundo Das Mangabeiras,BR,80.49,clear sky,-7.0219,-45.4811,Hotel Tropical
618,Sirjan,IR,79.59,clear sky,29.452,55.6814,MAPNA Building
620,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
621,Baghmara,IN,81.28,overcast clouds,23.795,86.2085,Shankar tea shop
622,Korla,CN,72.77,overcast clouds,41.7597,86.1469,Gulisitan Hotel
623,Aripuana,BR,82.36,clear sky,-9.1667,-60.6333,Paradise Inn & Suites
627,Pangai,TO,75.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
629,Donskoye,RU,70.29,light rain,45.4552,41.9741,Paradise Inn & Suites
630,Garissa,KE,72.73,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
631,Bacolod,PH,80.01,overcast clouds,10.6667,122.95,Planta Hotel & Residences
633,Southbridge,US,77.38,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
638,Pandhana,IN,75.58,broken clouds,21.7,76.2167,ठा. करण सिंह चौहान
639,Naval,PH,80.82,overcast clouds,11.5606,124.3975,Biliran Island Inn
640,Masuda,JP,72.93,light rain,34.6667,131.85,Masuda Green Hotel Morris
644,Puerto Castilla,HN,89.51,few clouds,16.0167,-85.9667,"Santa Fe, Colon"
645,North Bend,US,80.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
649,Japura,ID,72.03,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
650,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
651,Champerico,GT,84.74,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
652,West Fargo,US,89.65,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
654,Poso,ID,77.4,few clouds,-1.3959,120.7524,Hotel 77 Poso
656,Manta,EC,72.16,scattered clouds,-0.95,-80.7333,Balandra Hotel
657,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
658,Binghamton,US,72.91,overcast clouds,42.0987,-75.918,Nuru Binghamton Downtown
659,Honiara,SB,83.57,broken clouds,-9.4333,159.95,Heritage Park Hotel
661,Smithers,CA,70.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
671,Amuntai,ID,73.13,broken clouds,-2.4177,115.2494,Hotel Balqis
672,Bianzhuang,CN,71.96,broken clouds,34.8486,118.0447,Hao Shuo Business Hotel
676,Yinchuan,CN,71.92,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
